"","state_id","date","policy_type","start_stop","comments","source"
"1273","KS",2020-05-04,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1275","KY",2020-05-20,"Shelter in Place","stop"," https://kentucky.gov/Pages/Activity- Retail and worship reopening 5/20","manual"
"1278","ND",2020-05-01,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1282","PA",2020-05-08,"Shelter in Place","stop","State Policy End","manual"
"1285","SC",2020-05-18,"Gyms","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1287","MS",2020-05-07,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1288","WY",2020-05-01,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1294","WI",2020-05-13,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1295","NV",2020-05-15,"Shelter in Place","stop","State Policy End","manual"
"1296","PA",2020-06-05,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1298","PA",2020-06-05,"Non-Essential Businesses","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1304","TX",2020-05-01,"Non-Essential Businesses","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1306","IL",2020-05-29,"Non-Essential Businesses","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1312","DE",2020-05-08,"Non-Essential Businesses","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1313","MO",2020-05-03,"Shelter in Place","stop","State Policy End","manual"
"1320","CO",2020-04-26,"Shelter in Place","stop","Stay at home, effective 6:00 a.m. MDT, March 26 until at least April 11. On April 6, extended to April 26","manual"
"1324","TN",2020-04-27,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1327","ND",2020-05-01,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1328","VI",2020-04-30,"Shelter in Place","stop","US Virgin Islands","manual"
"1330","VA",2020-05-29,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1331","ID",2020-05-16,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1332","AR",2020-05-11,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1333","AL",2020-04-30,"Shelter in Place","stop","Stay at home, effective April 4 at 5 p.m.","manual"
"1339","TN",2020-03-25,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1340","VT",2020-03-20,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1343","CT",2020-03-19,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1344","NY",2020-03-15,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"1348","CO",2020-04-01,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1349","DC",2020-04-17,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1350","CA",2020-03-23,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1354","DC",2020-03-19,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1355","TN",2020-03-30,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1356","IN",2020-03-16,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1357","NM",2020-03-11,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate","BU COVID-19 State Policy Database"
"1359","TX",2020-03-17,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1361","IN",2020-05-18,"Phase 2","start","Policy_Details: phase 2 begins in Cass County  Phase Level: 2, Phase Details Source information: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf","sip_submission_form: https://backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf"
"1364","NJ",2020-04-08,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1365","VA",2020-03-30,"Shelter in Place","start","State Policy Start","wikidata"
"1367","MA",2020-03-17,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1371","NJ",2020-03-16,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1372","MD",2020-03-12,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1379","WV",2020-03-26,"Day Care","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1381","OK",2020-03-16,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1390","NV",2020-03-21,"Non-Essential Businesses","start","Other measures and details for this policy include: keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1395","GA",2020-04-03,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1397","NC",2020-03-23,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1398","IN",2020-03-25,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1401","KY",2020-03-26,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1402","AR",2020-05-11,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1404","MT",2020-03-15,"Nursing Homes","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1405","CO",2020-03-23,"Childcare (K-12)","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1406","IN",2020-03-19,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1411","IN",2020-07-27,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1414","NC",2020-03-23,"Nursing Homes","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1415","KY",2020-03-06,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1417","NH",2020-03-17,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1419","PA",2020-03-20,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1421","CO",2020-04-27,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1422","IA",2020-04-02,"Childcare (K-12)","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1423","FL",2020-03-20,"Food and Drink","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1428","MA",2020-03-24,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1429","TX",2020-03-17,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1430","NY",2020-03-20,"Stop Initiation Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open","BU COVID-19 State Policy Database"
"1432","AR",2020-04-03,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1433","FL",2020-03-20,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1436","MD",2020-05-07,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1437","FL",2020-03-17,"Childcare (K-12)","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1439","CA",2020-03-27,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1440","CT",2020-03-18,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1441","NJ",2020-03-21,"Non-Essential Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1442","MN",2020-03-20,"Reopened ACA Enrollment Using a Special Enrollment Period","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1448","NC",2020-03-23,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1449","DE",2020-03-24,"Order Freezing Utility Shut Offs","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1452","KY",2020-05-11,"Non-Essential Businesses","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1454","OK",2020-05-01,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1455","ME",2020-06-17,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1458","NV",2020-05-29,"Gyms","stop","Other measures and details for this policy include: keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1465","UT",2020-05-01,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1469","MN",2020-06-01,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1470","LA",2020-05-01,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1475","OK",2020-04-24,"Non-Essential Businesses","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1478","OR",2020-05-15,"Shelter in Place","stop","County by county entry into Phase I as soon as 5/15 https://govsite-assets.s3.amazonaws.com/2pRlAJbhRBuSTm0Iqy6p_Reopening-Oregon-Details-on-Restarting-Public-Life-and-Business.pdf","manual"
"1480","AZ",2020-05-15,"Shelter in Place","stop","Gov. Doug Ducey announced that hospitals and outpatient centers could resume elective surgeries on May 1, the same day a statewide stay-at-home is set to expire.","manual"
"1483","ME",2020-05-31,"Shelter in Place","stop","State Policy End","manual"
"1486","DC",2020-06-22,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1488","KY",2020-05-22,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1498","FL",2020-05-18,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1504","KS",2020-05-04,"Shelter in Place","stop","State Policy End","manual"
"1505","AR",2020-05-04,"Non-Essential Businesses","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1506","ID",2020-05-01,"Shelter in Place","stop","State Policy End","manual"
"1507","NE",2020-05-11,"Shelter in Place","stop","State Policy End","manual"
"1513","OH",2020-05-15,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1516","WV",2020-05-04,"Non-Essential Businesses","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1518","DE",2020-06-01,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1521","MA",2020-07-13,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1523","AL",2020-05-11,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1525","DE",2020-06-01,"Gyms","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1529","TX",2020-05-18,"Gyms","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1530","NM",2020-06-01,"Gyms","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate","BU COVID-19 State Policy Database"
"1540","OR",2020-06-19,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1544","AZ",2020-05-11,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1546","VT",2020-06-01,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1548","WV",2020-05-04,"Shelter in Place","stop","State Policy End","wikidata"
"1555","DE",2020-05-31,"Shelter in Place","stop","Extended on 5/8 https://governor.delaware.gov/wp-content/uploads/sites/24/2020/05/Second-Extension-of-State-of-Emergency-05082020.pdf","manual"
"1565","UT",2020-05-01,"Gyms","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1571","LA",2020-05-01,"Non-Essential Businesses","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1574","OH",2020-05-04,"Non-Essential Businesses","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1576","HI",2020-05-31,"Shelter in Place","stop","State Policy End","manual"
"1578","IA",2020-04-30,"Shelter in Place","stop","State Policy End","manual"
"1588","PA",2020-07-03,"Gyms","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1595","MA",2020-05-18,"Shelter in Place","stop","State Policy End","manual"
"1598","ND",2020-05-01,"Non-Essential Businesses","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1599","MA",2020-06-08,"Food and Drink","stop","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1608","NJ",2020-06-09,"Shelter in Place","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1613","WY",2020-05-01,"Non-Essential Businesses","stop","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1615","OK",2020-05-06,"Shelter in Place","stop","State Policy End","manual"
"1617","MO",2020-05-04,"Food and Drink","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1620","MI",2020-09-09,"Gyms","stop","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1631","LA",2020-03-17,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1636","AZ",2020-03-11,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1637","NE",2020-04-03,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1638","SD",2020-04-15,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1644","OK",2020-03-24,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1645","AR",2020-03-19,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1648","WY",2020-03-13,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1649","MN",2020-03-28,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1651","DC",2020-04-06,"Reopened ACA Enrollment Using a Special Enrollment Period","start","Other measures and details for this policy include: alcohol liquor stores open, paid sick leave","BU COVID-19 State Policy Database"
"1652","CO",2020-04-23,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1653","ND",2020-03-24,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1655","NE",2020-03-23,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1657","NH",2020-03-27,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1659","AR",2020-04-27,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1660","MS",2020-04-01,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1663","VA",2020-03-19,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1664","AK",2020-03-28,"Shelter in Place","start","Stay at home, effective March 28 at 5 p.m. ""We crossed a line today,"" Gov. Mike Dunleavy said, issuing instructions for people to stay home or remain six feet or more from one another when outside. The mayor of Anchorage had previously asked residents to ""hunker down.""","manual"
"1668","NE",2020-05-04,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1669","AL",2020-03-23,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1677","MN",2020-05-10,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1678","IN",2020-03-25,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1684","HI",2020-03-30,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1688","AL",2020-03-19,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1691","ID",2020-03-26,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1692","NE",2020-03-13,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1699","OR",2020-03-22,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1700","CT",2020-03-19,"Reopened ACA Enrollment Using a Special Enrollment Period","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1701","AK",2020-03-19,"Suspended Elective Medical Dental Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1704","TX",2020-03-30,"Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1705","CT",2020-03-16,"Food and Drink","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1706","HI",2020-04-26,"Resumed Elective Medical Procedures","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1710","LA",2020-05-01,"Mandate Face Mask Use By All Individuals In Public Facing Businesses","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1711","FL",2020-03-09,"State of Emergency","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1713","NH",2020-03-18,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1714","ID",2020-04-06,"Allow Audio Only Telehealth","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1715","VT",2020-03-30,"Allow Expand Medicaid Telehealth Coverage","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave","BU COVID-19 State Policy Database"
"1716","CO",2020-04-30,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1719","NM",2020-03-24,"Stop Enforcement Of Evictions Overall Or Due To Covid Related Issues","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate","BU COVID-19 State Policy Database"
"1721","AL",2020-07-16,"Mandate Face Mask Use By All Individuals In Public Spaces","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access","BU COVID-19 State Policy Database"
"1723","ME",2020-03-15,"State of Emergency","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1724","ID",2020-03-25,"Gyms","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1726","ND",2020-03-20,"Entertainment","start","Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1729","CO",2020-03-12,"Nursing Homes","start","Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open","BU COVID-19 State Policy Database"
"1737","GA",2020-04-03,"Shelter in Place","start","State Policy Start","wikidata"
